20	16.97	1.2296818423
40	38.43	1.5846703845
60	54.36	1.7352794481
80	75.36	1.8771408898
100	97.31	1.9881574726
150	144.31	2.1592964267
200	190.51	2.279917777
250	235.55	2.3720831086
300	291.13	2.4640869604

