5 17 74.19999999999999 1483.9999999999998 1410.1359275330037 73.86407246699605 
10 29 111.29999999999998 2225.9999999999995 2115.234475202611 110.76552479738848 
15 23 177.1 3542.0 3366.418600154009 175.5813998459912 
20 105 221.89999999999998 4438.0 4217.7207050333 220.27929496670004 
25 22 317.09999999999997 6341.999999999999 6026.45567555562 315.5443244443795 
30 28 364.0 7280.0 6918.36698395161 361.63301604839035 
35 34 403.2 8064.0 7663.092230053666 400.90776994633416 
40 38 469.00000000000006 9380.000000000002 8914.59970596946 465.4002940305418 
50 23 576.8000000000001 11536.000000000002 10963.139829135811 572.8601708641909 
60 47 704.1999999999998 14083.999999999996 13385.499803888784 698.5001961112121 
70 40 735.0000000000001 14700.000000000002 13969.144997360178 730.8550026398243 
80 42 910.0 18200.0 17295.368903927945 904.6310960720548 
90 43 989.0999999999996 19781.999999999993 18814.25458898591 967.7454110140825 
100 45 1088.5 21770.0 20761.06573878725 1008.9342612127512 
150 95 1729.6999999999994 34593.999999999985 33487.69532453491 1106.3046754650786 
200 96 2330.3000000000015 46606.00000000003 45427.07741261578 1178.9225873842515 
