5 22 74.19999999999999 370.99999999999994 297.13592753300446 73.86407246699548 
10 11 111.29999999999998 556.4999999999999 445.73447520261345 110.76552479738643 
15 9 177.1 885.5 709.9186001540089 175.5813998459911 
20 12 221.89999999999998 1109.5 889.2207050332976 220.27929496670242 
25 15 317.09999999999997 1585.4999999999998 1320.1557205505064 265.34427944949334 
30 8 364.0 1820.0 1552.1069337352806 267.89306626471944 
35 11 403.2 2016.0 1754.6287389698875 261.37126103011246 
40 13 469.00000000000006 2345.0000000000005 2070.5720012725233 274.4279987274772 
50 16 576.8000000000001 2884.0000000000005 2608.6310451040085 275.3689548959919 
60 24 704.1999999999998 3520.999999999999 3240.9902720934524 280.0097279065467 
70 10 735.0000000000001 3675.0000000000005 3372.3208487873517 302.6791512126488 
80 11 910.0 4550.0 4238.5165849834475 311.4834150165525 
90 39 989.0999999999996 4945.499999999998 4638.412929732398 307.0870702676002 
100 14 1088.5 5442.5 5120.210341264475 322.28965873552534 
150 22 1729.6999999999994 8648.499999999996 8312.955011420621 335.54498857937506 
200 44 2330.3000000000015 11651.500000000007 11309.99504821474 341.5049517852676 
