5	48.30
10	100.80
15	189.00
20	248.50
25	291.90
30	351.40
35	387.10
40	462.70
50	566.30
60	589.40
70	803.60
80	889.00
90	1076.60
100	1302.70
150	1704.50
200	2284.10

