5 13 74.19999999999999 1112.9999999999998 1039.1359275330046 73.86407246699514 
10 21 111.29999999999998 1669.4999999999998 1558.7344752026122 110.76552479738757 
15 24 177.1 2656.5 2480.918600154007 175.58139984599302 
20 47 221.89999999999998 3328.4999999999995 3108.2207050332972 220.2792949667023 
25 28 317.09999999999997 4756.499999999999 4440.955675555622 315.5443244443768 
30 37 364.0 5460.0 5098.366983951605 361.6330160483949 
35 19 403.2 6048.0 5647.092230053662 400.9077699463378 
40 24 469.00000000000006 7035.000000000001 6569.599705969457 465.4002940305436 
50 18 576.8000000000001 8652.000000000002 8079.139829135824 572.8601708641781 
60 24 704.1999999999998 10562.999999999996 9864.499803888817 698.5001961111793 
70 50 735.0000000000001 11025.000000000002 10294.144997360188 730.8550026398134 
80 28 910.0 13650.0 12869.175383684573 780.8246163154272 
90 31 989.0999999999996 14836.499999999993 14065.240114459913 771.2598855400793 
100 38 1088.5 16327.5 15523.693532678464 803.8064673215358 
150 49 1729.6999999999994 25945.49999999999 25078.527824271732 866.9721757282568 
200 109 2330.3000000000015 34954.50000000002 34033.64634819728 920.8536518027395 
