5 0
5 7
5 4
5 5
5 3
5 2
5 1
5 9
5 5
5 1
5 8
5 3
5 3
5 5
5 6
5 1
5 13
5 2
5 0
5 1
5 7
5 13
5 0
5 4
5 5
5 1
5 4
5 0
5 4
5 9
10 1
10 7
10 3
10 13
10 12
10 17
10 1
10 5
10 10
10 19
10 13
10 2
10 21
10 1
10 16
10 9
10 0
10 13
10 4
10 11
10 16
10 4
10 0
10 1
10 1
10 3
10 5
10 11
10 4
10 6
20 32
20 2
20 13
20 2
20 25
20 24
20 41
20 22
20 37
20 1
20 48
20 3
20 35
20 26
20 17
20 26
20 25
20 38
20 43
20 8
20 4
20 40
20 3
20 1
20 37
20 50
20 41
20 10
20 18
20 7
40 47
40 37
40 13
40 48
40 8
40 73
40 36
40 13
40 1
40 79
40 8
40 46
40 79
40 13
40 43
40 21
40 1
40 27
40 99
40 31
40 42
40 9
40 42
40 7
40 33
40 41
40 29
40 25
40 52
40 1
60 31
60 108
60 13
60 6
60 20
60 153
60 83
60 79
60 102
60 82
60 5
60 108
60 48
60 58
60 5
60 158
60 68
60 110
60 20
60 121
60 12
60 112
60 50
60 59
60 5
60 32
60 84
60 129
60 113
60 20
